temperatura,humedad,radiacion,hora
27.36,26.32,1151,0:08:44
27.36,26.34,1152,0:08:48
27.37,26.35,1144,0:08:52
27.37,26.4,1101,0:08:56
27.38,26.32,1130,0:09:00
27.38,26.36,1086,0:09:04
27.39,26.4,1082,0:09:08
27.41,26.46,1122,0:09:12
27.4,26.43,1091,0:09:16
27.41,26.46,1136,0:09:20
27.42,26.48,1145,0:09:24
27.44,26.44,1065,0:09:28
27.45,26.38,1102,0:09:32
27.45,26.37,1146,0:09:36
27.47,26.37,1147,0:09:40
27.47,26.37,1147,0:09:44
27.49,26.41,1143,0:09:48
27.48,26.4,1059,0:09:52
27.5,26.34,1059,0:09:56
27.48,26.21,1088,0:10:00
27.51,26.17,1093,0:10:04
27.52,26.16,1126,0:10:08
27.53,26.17,1063,0:10:12
28.03,25.4,1127,0:00:02
28.03,25.45,1136,0:00:06
28.05,25.41,1067,0:00:10
28.06,25.43,1071,0:00:14
28.04,25.42,1057,0:00:18
28.05,25.36,1070,0:00:22
28.07,25.38,1128,0:00:26
28.08,25.33,1137,0:00:30
28.08,25.32,1049,0:00:34
28.12,25.35,1023,0:00:38
25.69,25.51,1040,00:00:02
25.69,25.56,1041,00:00:06
25.67,25.73,1039,00:00:10
25.66,25.76,1040,00:00:14
25.60,25.87,1051,00:00:18
25.57,26.14,1041,00:00:22
25.53,26.81,1040,00:00:26
25.63,28.64,1040,00:00:30
25.70,29.75,1040,00:00:34
25.75,30.07,1041,00:00:38
25.76,29.93,1041,00:00:42
25.71,28.88,1039,00:00:46
25.67,28.49,1042,00:00:50
25.65,28.30,1044,00:00:54
25.61,28.89,1040,00:00:58
25.61,30.11,1041,00:01:02
25.56,28.73,1045,00:01:06
25.52,27.57,1041,00:01:10
25.48,26.98,1040,00:01:14
25.46,26.69,1041,00:01:18
25.44,26.56,1047,00:01:22
25.39,26.54,1044,00:01:26
25.41,26.52,1041,00:01:30
25.38,26.54,1047,00:01:34
25.39,26.55,1040,00:01:38
25.37,26.53,1039,00:01:42
25.35,26.44,1040,00:01:46
25.32,26.53,1051,00:01:50
25.31,26.49,1101,00:01:54
25.31,26.49,1104,00:01:58
25.28,26.59,1093,00:02:02
25.29,26.69,1125,00:02:06
25.27,26.62,1077,00:02:10
25.25,26.58,1152,00:02:14
25.24,26.74,1095,00:02:18
25.23,26.73,1155,00:02:22
25.22,26.63,1104,00:02:26
25.21,26.31,1072,00:02:30
25.20,26.10,1153,00:02:34
25.18,25.84,1083,00:02:38
25.18,25.74,1138,00:02:42
25.18,25.71,1162,00:02:46
25.17,25.79,1165,00:02:50
25.15,25.74,1153,00:02:54
25.15,25.73,1090,00:02:58
25.15,25.89,1205,00:03:02
25.15,26.11,1264,00:03:06
25.15,26.37,1263,00:03:10
25.15,26.60,1259,00:03:14
25.14,26.92,1250,00:03:18
25.14,27.11,1086,00:03:22
25.11,27.07,1199,00:03:26
25.11,27.06,1245,00:03:30
25.08,26.93,1086,00:03:34
25.08,27.13,1250,00:03:38
25.10,27.30,1226,00:03:42
25.10,27.35,1264,00:03:47
25.09,27.45,1209,00:03:51
25.10,27.43,1249,00:03:55
25.09,27.56,1121,00:03:59
25.07,27.80,1066,00:04:03
25.09,27.77,1252,00:04:07
25.07,27.54,1232,00:04:11
25.06,27.40,1126,00:04:15
25.06,27.32,1257,00:04:19
25.06,27.27,1040,00:04:23
25.05,27.28,1127,00:04:27
25.05,27.32,1153,00:04:31
25.03,27.34,1226,00:04:35
25.02,27.40,1136,00:04:39
25.01,27.44,1239,00:04:43
25.01,27.40,1250,00:04:47
25.02,27.45,1247,00:04:51
25.01,27.46,1063,00:04:55
25.02,27.53,1099,00:04:59
25.01,27.56,1185,00:05:03
25.02,27.61,1055,00:05:07
25.02,27.61,1211,00:05:11
25.03,27.69,1132,00:05:15
25.04,28.03,1126,00:05:19
25.05,28.42,1249,00:05:23
25.04,28.64,1221,00:05:27
25.10,31.16,1170,00:05:31
25.12,33.40,1193,00:05:35
25.14,32.27,1109,00:05:39
25.16,32.06,1158,00:05:43
25.15,31.37,1224,00:05:47
